Date,Open,High,Low,Close,Volume,Adj Close
2018-12-10,138.5,141.25,135.149994,137.100006,33096556,130.590012
2018-12-11,136,138.949997,134.75,138.100006,14884397,131.542542
2018-12-12,139.5,142.5,138.850006,141.699997,14020937,134.971588
2018-12-13,143,144.199997,141.5,143.300003,11251819,136.495621
2018-12-14,143,150.399994,140.600006,146.850006,23355616,139.877045
2018-12-17,148,149.899994,146.100006,148.25,12767531,141.210556
2018-12-18,147.899994,148.949997,146.300003,147.600006,10474177,140.591446
2018-12-19,147.5,148.800003,147.300003,148.25,7008346,141.210556
2018-12-20,147.949997,150.75,147.399994,148.600006,21204077,141.543945
2018-12-21,149,149.300003,147.600006,148.5,17767999,141.448685
2018-12-24,148.5,149.699997,147.300003,147.899994,8200455,140.877182
2018-12-26,148.100006,149.449997,145.75,146.600006,9247671,139.638901
2018-12-27,147.350006,151.399994,146,149.699997,44356763,142.591705
2018-12-28,148.199997,151.5,148,150.5,10732729,143.353729
2018-12-31,150.149994,150.800003,149.100006,149.899994,5778308,142.782211
2019-01-01,150,150.100006,148,148.5,4496586,141.448685
2019-01-02,148,148.350006,145.75,147.050003,17436694,140.067551
2019-01-03,145,145.649994,141.600006,142.399994,26599483,135.638351
2019-01-04,142.050003,146.199997,142.050003,145.699997,7395898,138.781647
2019-01-07,147.550003,148.399994,145.75,147.850006,12700566,140.829559
2019-01-08,149.100006,149.100006,146.300003,147.449997,6163846,140.448547
2019-01-09,147.899994,148.199997,144.850006,145.300003,4951441,138.40065
2019-01-10,145.899994,147,143,143.25,7131028,136.447983
2019-01-11,144,145.5,143.649994,144.649994,7665486,137.781494
2019-01-14,145,145.199997,142.5,143.449997,6028078,136.638489
2019-01-15,144.699997,145.5,144.050003,145.149994,3680774,138.257751
2019-01-16,145.199997,147.25,145.199997,146.350006,3667241,139.400787
2019-01-17,146.5,147.449997,144.449997,145,5142302,138.114883
2019-01-18,145.100006,147.699997,145.100006,146.75,4904282,139.781799
2019-01-21,147,147.199997,144.100006,144.699997,4087312,137.829117
2019-01-22,145.5,146,144.050003,144.350006,4113351,137.495758
2019-01-23,144.699997,145.550003,143,143.300003,4946218,136.495621
2019-01-24,143.399994,143.949997,141.050003,141.699997,3820645,134.971588
2019-01-25,142.100006,144.449997,141.649994,142,3871762,135.257339
2019-01-28,142.5,142.949997,139.649994,141.649994,2910523,134.92395
2019-01-29,142.300003,143.699997,140.100006,141.050003,7282910,134.352448
2019-01-30,141.449997,141.5,138.5,139.699997,8511453,133.066544
2019-01-31,140.199997,142.800003,139.25,141.25,28107358,134.542953
2019-02-01,141,143.300003,139.800003,141.800003,5260578,135.066833
2019-02-04,142.5,147.449997,142.449997,146.25,9532350,139.305527
2019-02-05,146,148.199997,142.300003,142.949997,5413425,136.162231
2019-02-06,143.399994,147.75,142.5,146.699997,5075180,139.734161
2019-02-07,146.899994,148.300003,145.5,147.899994,6080631,140.877182
2019-02-08,146.300003,148.300003,143.149994,144.149994,4510762,137.305237
2019-02-11,143.25,143.649994,137.100006,138.199997,6424512,131.637772
2019-02-12,138.5,140.949997,136.550003,137.449997,6816203,130.923386
2019-02-14,133.5,134.199997,127.599998,132.149994,25346334,125.875046
2019-02-15,138,140.899994,133.399994,135,37975666,128.589722
2019-02-18,136.800003,138.899994,135.800003,137.100006,10614715,130.590012
2019-02-19,137.199997,140.350006,137.199997,139.149994,9077045,132.542664
2019-02-20,141.600006,145.350006,140,144.050003,14236359,137.210007
2019-02-21,145,148.600006,144.199997,146.949997,13876243,139.97229
2019-02-22,148.600006,150.5,147.100006,148.600006,18273813,141.543945
2019-02-25,149,149.350006,145.699997,147.75,20216077,140.734299
2019-02-26,147.5,149.199997,146,147.5,12458860,140.49617
2019-02-27,148.75,149.75,146.5,148,11868751,140.972443
2019-02-28,144.399994,150.75,143.100006,148.649994,48854712,146.798965
2019-03-01,149.899994,150.199997,147.850006,149.100006,9764801,147.243378
2019-03-05,148.75,155.649994,147.850006,155,11194669,153.069901
2019-03-06,155.100006,157,152.800003,154.800003,15648948,152.872391
2019-03-07,154.800003,155.5,151.5,152.050003,30210637,150.156631
2019-03-08,152.100006,152.600006,147,150.399994,17986042,148.527161
2019-03-11,151.550003,154.300003,151.100006,153,15880368,151.094803
2019-03-12,154,155.600006,151.100006,151.850006,10818012,149.959122
2019-03-13,151.25,151.25,145.699997,149.75,21001041,147.885269
2019-03-14,150,152.5,149.5,151.050003,6328309,149.169083
2019-03-15,151.899994,157.449997,151.199997,156,15483879,154.057434
2019-03-18,155,157.300003,153.600006,154.649994,7575127,152.724258
2019-03-19,155.949997,163.199997,154.800003,157,18289779,155.044998
2019-03-20,156.649994,157.050003,150.600006,151.850006,28675956,149.959122
2019-03-22,152.949997,153.449997,148.449997,152.350006,26751005,150.452911
2019-03-25,152,160.550003,150.699997,158.649994,22638399,156.674438
2019-03-26,159,163.050003,158.699997,160.050003,16694599,159.059601
2019-03-27,160.149994,161.399994,157.5,160.100006,10063152,159.109299
